 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
1_3-Dimethyluracil	1,3-Dimethyluracil	10742	10098	63842	68436	2754	3912		4802	4350	4328	6718	6990	2382	2004	1446	1576	9450	14410	3242	3042	5764	5086	29924	31478	7574	2562	3712	3710	57298	59994	7146	6348
2_2-Dimethylsuccinic acid	2,2-Dimethylsuccinic acid	2550	1868	2606	1772	2594	1732	2274	2450	1594	1754	2782	3090	2310	1740	1702	2208	1470	1472	2076	1718	3028	3664	1982	284	2090	1648	440	494	2048	1850	2994	2548
2_3-Diaminopropionic acid	2,3-Diaminopropionic acid	30526	27130	27992	25112	31808	34136	38028	38088	23770	22662	44238	41468	32870	29612	24640	24884	19874	22540	30834	28646	54732	55552	26522	1724	26664	25638	4614	3936	28120	29160	40846	36588
2_4-Diaminobutyric acid	2,4-Diaminobutyric acid	6130	5660	3896	2966	3574	3312	4272	5646	3182	4654	4730	5264	3130	4410	3832	4466	4284	4794	4020	4094	10450	11072	4654	288	4420	3554	5546	4636	2904	3496	6866	6572
2-Furoylglycine	2-Furoylglycine	2340	2118	1624	1962	544	528	3226	3834	982	714	1428	1822	724	836	1068	1392	668	638	1378	1660	1854	1674	2118	2046	1246		546	396	2488	2828	418	664
2-Pyrrolidinone	2-Pyrrolidinone	1244	1116	1010		642		1702	1670	1568	1898	550	736		356	620	480		266	1520	1348	610	768			352	364	626	854	982	1080	382	
3_4_5-Trimethoxycinnamic acid	3,4,5-Trimethoxycinnamic acid	1548	1336	1356	1076	1094	1364	1338	1446	2240	1980	4360	5454	2766	2626	1712	2172	6058	6618	2006	1696	1648	3034	2282	1278	2292	262	10106	10630	1426	1796	2620	3112
3-Cresotinic acid	3-Cresotinic acid	2590	1764	886	864	2386	2454	1366	1696	1818	2354	718	668	2846	2650	1674	1772	2758	2940	1892	2350	2514	3036	1894	2014	2694	138		68	1196	1366	2826	2546
3-Hydroxyanthranilic acid	3-Hydroxyanthranilic acid	1282	1312	208	296	4440	4650	388	404	258	274	1748	1624	4630	4300	68	226	104	70	560	594	496	506	304	516	1678	140	506	532	78	164	62	122
3-Hydroxymethylglutaric acid	3-Hydroxymethylglutaric acid	588	850	776	430	672	986	1628	2346	412	516	7066	8734	1052	832	554	770		1052	2372	2924	408	414	20420	19208	1294	372	818	904	928	1134	2368	1374
3-Indolepropionic acid	3-Indolepropionic acid	2310	2422	13170	12988	656	958	1390	1304	2448		840	162	830	898			158		1224	952			382		3516	3302		72		174	134	
3-Methoxyphenylacetic acid	3-Methoxyphenylacetic acid	3682	3062	6092	5404	236		768	582	618	676	1264	1348			3112	2830			1036	1266	2312	2024	1198	1148	2566	460			3370	4080	466	
3-Methylindole	3-Methylindole	4178	3772	1142	1164	438	744	1332	1662	2226	1484	3818	3928	602	868	2796	2286	860	778	1714	2278	5392	5124	2150	2202	4872		452		7742	8254	1582	
3-Methylxanthine	3-Methylxanthine	100	838	820	954	1246	1092	1094	1160	942	1652	1172	1464	1138	1052	1332	962	1126	1026	1102	978	1590	2200	902	632	1762		1456				1404	1282
3-Nitrotyrosine	Nitrotyrosine	6244	4856	1392	1738		5190	732	814	1214	1526	1372	990		3362	820	688	674	956	1360	936	1004	1136	540	202	572	5222	482	466	1292		3080	
3-Pyridylacetic acid	3-Pyridylacetic acid	3666	3262	5334	5572	3998	4812	1460	2088	2732	2580	3140	2960	4020	4094	2186	2724	2350	3094	2130	1678	8580	7310	19272	19252	2904	436	1028	954	3286	3070	5546	4988
4-Aminophenol	4-Aminophenol	3284	3040	1206	1700	98724	94006	3414	4020	188	298			90098	95394	584	668	81270	75722	1274	1566	18798	18548	43428	38802			4376	3732	1080	1620	63420	63528
4-Ethylbenzoic acid	4-Ethylbenzoic acid	1122	1106	772	730	704	686	1032	1168	1708	1586	1228	1088	1134	984	1852	1906	1552	1308	1284	1072	2052	2422	1688	208	1050	282	1366	1454	1268	1506	1600	1068
4-Ethylphenol	4-Ethylphenol	1122	966	1080	760	738	956	1192	1104	964				904		906	600	1070			976	1036	1054	754			916	1168		1142	744		1100
4-Hydroxyproline	cis-4-Hydroxyproline	2656	2572	2090	2202	2010	2422	2526	2734	2700	2302	2800	2960	2456	2712	2218	2446	2828	2940	2970	2160	3008	3296	3146	2462	2410	2576	2864	2822	2738	2590	3312	2060
5-Hydroxy-L-tryptophan	5-Hydroxy-tryptophan	1140	1032	292	552	1194	318	836	500	446	1346	2124	1798	208	1276	1142	612	738	502	490	1106	1190	728	7452	6420	2396	886	164	310	2826	1766	1462	270
