Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
P001	Extraction	D2O	P001	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/102.zip	NMR assay	P001	FILES/102.zip	Data transformation	P001		Metabolite identification	P001	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P002	Extraction	D2O	P002	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/103.zip	NMR assay	P002	FILES/103.zip	Data transformation	P002		Metabolite identification	P002	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P003	Extraction	D2O	P003	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/104.zip	NMR assay	P003	FILES/104.zip	Data transformation	P003		Metabolite identification	P003	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P004	Extraction	D2O	P004	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/105.zip	NMR assay	P004	FILES/105.zip	Data transformation	P004		Metabolite identification	P004	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P005	Extraction	D2O	P005	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/106.zip	NMR assay	P005	FILES/106.zip	Data transformation	P005		Metabolite identification	P005	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P006	Extraction	D2O	P006	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/107.zip	NMR assay	P006	FILES/107.zip	Data transformation	P006		Metabolite identification	P006	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P007	Extraction	D2O	P007	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/108.zip	NMR assay	P007	FILES/108.zip	Data transformation	P007		Metabolite identification	P007	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P008	Extraction	D2O	P008	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/109.zip	NMR assay	P008	FILES/109.zip	Data transformation	P008		Metabolite identification	P008	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P009	Extraction	D2O	P009	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/110.zip	NMR assay	P009	FILES/110.zip	Data transformation	P009		Metabolite identification	P009	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
P010	Extraction	D2O	P010	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/111.zip	NMR assay	P010	FILES/111.zip	Data transformation	P010		Metabolite identification	P010	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
