database_identifier	chemical_formula	smiles	inchi	metabolite_identification	chemical_shift	multiplicity	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P001	P002	P003	P004	P005	P006	P007	P008	P009	P0010	P0011	P0012	P0013	P0014	P0015	P0016	P0017	P0018	P0019	P0020	P0021	P0022	P0023	P0024	P0025	P0026	P0027	P0028	P0029	P0030	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045
CHEBI:15347	CH3COCH3			Acetone	2.22(s)			Homo sapiens																																																																																																																								
CHEBI:13705	C4H6O3			Acetoacetate	2.29 3.45(s)			Homo sapiens																																																																																																																								
CHEBI:15428	C3H7NO2			Alanine	1.48(d) 3.78(q)			Homo sapiens																																																																																																																								
CHEBI:22660	C4H7NO4			Aspartic Acid	2.67 2.88 3.88(dd)			Homo sapiens																																																																																																																								
CHEBI:30772	C4H8O2			Butyric acid	1.68			Homo sapiens																																																																																																																								
CHEBI:16919	C4H9N3O2			Creatine	3.03, 3.92			Homo sapiens																																																																																																																								
CHEBI:30769	C6H5O7-3			Citrate	2.48			Homo sapiens																																																																																																																								
CHEBI:17634	C6H12O6			alpha-Glucose	3.40 3.54 3.71 3.83 3.85			Homo sapiens																																																																																																																								
CHEBI:15971	C6H9N3O2			Histidine	7.05 7.77 3.99			Homo sapiens																																																																																																																								
CHEBI:15740	CH₂O₂			Formate	8.44			Homo sapiens																																																																																																																								
CHEBI:17295	C9H11NO2			Phenylalanine	3.14 3.27 3.98 7.33 7.36 7.42			Homo sapiens																																																																																																																								
CHEBI:15361	C3H3O			Pyruvate	2.36			Homo sapiens																																																																																																																								
CHEBI:30031	C4H6O4			Succinate	2.39			Homo sapiens																																																																																																																								
CHEBI:16199	CO(NH2)2			Urea	5.78			Homo sapiens																																																																																																																								
CHEBI:27897	C11H12N2O2			Tryptophan	7.28			Homo sapiens																																																																																																																								
CHEBI:17634	C6H12O6			Beta- Glucose	3.42 3.24 3. 49 3.74 3.48 4.65			Homo sapiens																																																																																																																								
CHEBI:30832	C6H10O4			Adipic acid	1.56 2.23			Homo sapiens																																																																																																																								
CHEBI:91242	C5H11NO2			Betaine	3.22(s) 3.89(s) 3.75			Homo sapiens																																																																																																																								
CHEBI:29985	C5H8NO4			Glutamate	2.06 2.13 2.35 3.78			Homo sapiens																																																																																																																								
CHEBI:16236	C2H6O			Ethanol	1.17(t) 3.64			Homo sapiens																																																																																																																								
CHEBI:17191	C6H13NO2			Isoleuscine	0.92(t) 0.99 1.25 1.45 1.96 3.65			Homo sapiens																																																																																																																								
CHEBI:15603	C6H13NO2			Leucine	0.92(t) 0.99 1.25 1.45 1.96 3.65			Homo sapiens																																																																																																																								
